no,image_name,detect_num,type,type_id,image_height,image_width,figure,points,count,center_x,center_y,area,defect_height,defect_width,crack_straight,crack_ratio of perimeter and area,crack_cir,date
30,ST1_WB_SI_DETECT_0066,0001,etc,etc_0001,597,1928,,"[[358, 274], [358, 281], [362, 281], [363, 280], [364, 280], [366, 278], [367, 278], [367, 274]]",8,,,54.5,9.0,7.0,,,,2025-09-02
31,ST1_WB_SI_DETECT_0067,0001,etc,etc_0001,589,1886,,"[[1434, 230], [1434, 249], [1446, 249], [1446, 246], [1448, 244], [1448, 243], [1450, 241], [1450, 239], [1451, 238], [1451, 234], [1450, 233], [1450, 230]]",12,,,287.0,17.0,19.0,,,,2025-09-02
32,ST1_WB_SI_DETECT_0067,0002,etc,etc_0002,589,1886,,"[[410, 270], [410, 276], [420, 276], [421, 275], [423, 275], [425, 273], [425, 270]]",7,,,83.5,15.0,6.0,,,,2025-09-02
33,ST1_WB_SI_DETECT_0070,0001,etc,etc_0001,568,1814,,"[[329, 238], [329, 241], [328, 242], [327, 242], [326, 243], [322, 243], [322, 248], [330, 248], [331, 247], [333, 247], [334, 246], [336, 246], [337, 245], [338, 245], [339, 244], [340, 244], [341, 243], [345, 243], [345, 238]]",19,,,152.5,23.0,10.0,,,,2025-09-02
34,ST1_WB_SI_DETECT_0072,0001,etc,etc_0001,583,1872,,"[[1378, 258], [1378, 262], [1382, 262], [1383, 263], [1384, 263], [1386, 265], [1387, 265], [1388, 266], [1389, 266], [1390, 267], [1394, 267], [1396, 265], [1394, 263], [1393, 263], [1392, 262], [1392, 258]]",16,,,99.0,18.0,9.0,,,,2025-09-02
35,ST1_WB_SI_DETECT_0079,0001,etc,etc_0001,629,1998,,"[[366, 294], [366, 301], [377, 301], [377, 294]]",4,,,77.0,11.0,7.0,,,,2025-09-02
36,ST1_WB_SI_DETECT_0084,0001,etc,etc_0001,576,1854,,"[[1391, 230], [1391, 233], [1389, 235], [1386, 235], [1386, 261], [1390, 261], [1390, 258], [1391, 257], [1391, 256], [1392, 255], [1392, 251], [1393, 250], [1393, 243], [1396, 240], [1397, 240], [1398, 239], [1399, 239], [1401, 237], [1405, 237], [1405, 230]]",20,,,281.5,19.0,31.0,,,,2025-09-02
37,ST1_WB_SI_DETECT_0089,0001,etc,etc_0001,586,1866,,"[[390, 258], [390, 270], [393, 270], [394, 271], [394, 273], [398, 277], [399, 277], [400, 278], [401, 278], [402, 279], [405, 279], [406, 278], [410, 278], [411, 279], [412, 279], [413, 280], [413, 281], [414, 282], [414, 285], [421, 285], [421, 258]]",21,,,634.5,31.0,27.0,,,,2025-09-02
38,ST1_WB_SI_DETECT_0089,0002,etc,etc_0002,586,1866,,"[[1502, 278], [1502, 288], [1513, 288], [1514, 287], [1517, 287], [1518, 286], [1519, 286], [1520, 285], [1520, 278]]",9,,,170.5,18.0,10.0,,,,2025-09-02
39,ST1_WB_SI_DETECT_0090,0001,etc,etc_0001,587,1890,,"[[411, 258], [411, 261], [409, 263], [406, 263], [406, 273], [413, 273], [413, 270], [417, 266], [418, 266], [421, 263], [425, 263], [425, 258]]",12,,,169.5,19.0,15.0,,,,2025-09-02
40,ST1_WB_SI_DETECT_0091,0001,etc,etc_0001,608,1884,,"[[624, 266], [624, 269], [623, 270], [622, 270], [621, 271], [617, 271], [612, 276], [611, 276], [608, 279], [605, 279], [604, 280], [603, 280], [602, 281], [601, 281], [600, 282], [599, 282], [598, 283], [594, 283], [591, 280], [590, 280], [589, 279], [586, 279], [586, 298], [598, 298], [606, 290], [608, 290], [609, 289], [611, 289], [612, 290], [614, 290]]",30,,,660.0,51.0,32.0,,,,2025-09-02
41,ST1_WB_SI_DETECT_0092,0001,etc,etc_0001,605,1932,,"[[594, 282], [594, 301], [598, 301], [598, 298], [599, 297], [601, 297], [605, 293], [605, 292], [606, 291], [609, 291], [609, 288], [606, 288], [604, 286], [604, 282]]",14,,,182.0,15.0,19.0,,,,2025-09-02
42,ST1_WB_SI_DETECT_0101,0001,etc,etc_0001,654,2072,,"[[451, 278], [451, 283], [449, 285], [446, 285], [446, 302], [449, 302], [451, 300], [451, 299], [452, 298], [452, 297], [453, 296], [453, 295], [454, 294], [454, 293], [455, 292], [455, 290], [456, 289], [456, 288], [458, 286], [461, 286], [461, 278]]",21,,,208.5,15.0,24.0,,,,2025-09-02
43,ST1_WB_SI_DETECT_0102,0001,etc,etc_0001,649,2030,,"[[394, 282], [394, 297], [405, 297], [405, 282]]",4,,,165.0,11.0,15.0,,,,2025-09-02
